0,1,2,3,4,5,6,7,label
1.847302,2.196315,0.591097,0.137629,0.644086,0.333206,2.284692,2.1344,-1
1.48863,1.408363,0.060026,2.364357,1.892648,3.021513,2.087176,1.905783,1
1.41105,0.707971,2.105415,2.311479,0.810517,0.300155,3.018787,0.79095,1
0.886448,2.413541,2.50675,1.709143,1.202311,1.198992,0.897953,2.325621,1
0.750799,1.375143,2.775719,0.908804,2.464601,2.384323,1.312511,0.709274,-1
1.319777,0.202204,1.873749,2.63053,2.803829,0.629976,1.578321,2.812925,-1
0.803999,2.724491,0.051798,1.73572,1.658464,2.900791,0.77267,0.20112,1
2.834046,2.745877,0.514176,3.14078,1.089517,0.982936,2.661256,2.765328,-1
2.125472,0.168625,1.756822,2.181877,2.589292,0.978382,1.587229,2.667224,1
0.922107,2.127234,1.322316,2.141664,0.695008,1.724727,2.666731,2.313993,1
1.569611,1.192753,2.47407,0.530519,1.8421,1.354688,0.194497,0.909349,1
2.306386,0.906838,1.226472,1.996851,2.611131,1.003491,0.500219,2.235759,1
2.741695,1.863456,2.182505,0.544229,1.670487,2.736197,2.642363,3.053803,-1
2.457534,0.61899,1.918338,1.504369,1.937222,0.439613,1.291935,2.442998,1
2.952235,0.328546,2.948329,2.505066,1.039247,0.979504,0.911545,0.54629,-1
2.768213,2.576283,2.314282,2.660829,1.913593,1.08144,0.721526,2.967629,-1
0.916483,1.288193,1.060804,2.982404,0.725485,0.532412,1.5422,2.842367,1
2.777167,0.612333,1.634313,0.549462,2.826007,1.188148,2.208167,1.607696,1
1.994443,2.934232,0.661275,1.056216,2.071777,1.302515,0.802091,2.750786,1
1.262265,1.763589,0.539358,0.027577,1.284248,0.325057,1.649483,1.444696,1
1.292841,2.381252,0.055868,1.92538,2.045624,2.26844,1.801972,3.131719,1
1.916533,1.578218,1.111572,0.450486,2.398189,2.722425,1.466543,2.959653,-1
2.180886,2.265674,1.8959,2.752343,2.769184,2.870866,0.129361,2.515724,1
3.113921,0.397106,0.449329,0.209957,1.069799,2.501702,1.779667,2.328474,-1
0.808125,1.915038,2.951336,2.323733,1.145525,1.095528,0.4195,2.649795,1
1.343409,2.455024,0.596037,0.011837,2.76542,2.766059,1.828807,0.314565,-1
1.609275,1.53501,1.541194,2.371772,2.899701,1.046289,1.936528,3.130304,-1
2.464558,2.723081,2.973535,1.369678,0.301267,2.357228,2.52526,1.060849,-1
0.502589,2.71711,0.917772,0.4783,0.349097,0.640829,2.234754,2.933705,1
0.126462,1.032702,2.741342,1.364936,2.239084,1.538817,0.967565,2.228952,-1
1.893588,1.419143,1.266957,1.434781,1.917998,1.747358,2.960081,2.350354,1
2.715852,0.597147,0.087643,0.311047,2.647445,1.110332,1.501487,1.593465,1
0.549889,2.102662,0.991372,2.090062,0.775409,2.869729,0.808138,1.178152,1
1.262092,0.692715,2.127772,1.37704,2.933097,1.218951,0.9124,0.880017,-1
2.074125,0.351666,0.514115,0.947337,0.915774,0.074011,0.374038,2.219241,1
0.750161,1.189637,0.564731,0.829634,1.928874,0.426195,2.426758,0.345774,-1
2.082675,2.199747,1.613844,0.8829,1.304407,0.256087,1.940464,2.714483,1
0.121385,2.366864,3.042682,2.488694,0.406248,0.552461,0.653177,1.574344,1
2.693588,1.419568,0.213417,2.504183,1.561101,0.220549,1.936635,1.789595,-1
1.484245,1.086852,0.932546,0.67961,1.585202,2.60411,0.306272,2.545526,1
0.315366,1.459367,0.29782,2.787336,2.553851,2.804573,0.699371,0.03941,-1
1.136661,2.421319,2.798832,0.732904,2.193376,0.202155,0.417299,0.553878,-1
1.364655,0.56147,1.510336,1.911988,2.67954,0.000105,2.004889,0.171502,-1
0.34046,1.648505,0.645197,0.807308,0.693987,1.532625,0.433232,2.485558,1
0.172641,2.26062,0.574212,1.59687,1.962464,2.817708,0.947911,0.805952,1
1.984593,3.130759,2.798196,0.224406,1.522967,1.188559,2.783262,0.718695,1
3.138539,1.172159,1.564398,1.56333,0.027516,1.179137,2.286455,2.329907,1
0.711867,1.652032,2.236129,1.501955,0.198851,2.197789,0.886374,1.324437,1
1.925791,1.604196,2.138941,3.083287,1.001738,0.356313,0.806069,1.853514,-1
1.584101,2.994557,1.601295,0.530998,0.843541,2.98617,1.390307,2.208857,1
1.917062,0.882124,2.276767,0.94232,2.549634,1.323143,0.248335,1.296429,1
0.578592,2.723454,1.434745,0.470443,1.130166,1.232116,2.002495,3.071771,1
1.199778,2.100556,2.596538,2.959237,0.352594,1.564708,0.566993,0.202406,1
2.331628,2.393859,2.149474,1.665793,3.086944,0.977503,1.253827,2.42742,-1
0.943331,2.79999,0.390454,1.656484,2.343509,1.552421,0.928413,1.280334,-1
1.27416,0.095006,0.184527,1.767015,2.226828,1.377614,1.638373,3.001741,-1
0.941544,1.43679,1.406282,2.068592,2.243227,1.392342,2.263227,2.632079,-1
1.757724,0.754881,1.975014,1.437968,2.869868,1.77008,2.556724,1.609192,-1
0.557065,1.775049,1.598821,1.141763,0.050145,2.321148,3.084568,2.821361,1
1.993459,1.392682,1.750718,2.718145,1.049238,2.459967,1.524831,1.375316,-1
0.953687,1.676755,2.941843,1.347691,0.315098,0.351547,1.703216,0.492389,1
1.1799,2.892093,1.410794,1.933149,0.01905,2.572846,0.882298,2.937747,1
0.495422,2.574275,2.32754,2.427045,1.169281,0.909433,1.804174,0.431021,-1
2.654007,1.917099,2.117628,2.532194,2.774233,2.408623,1.092895,2.04592,1
0.758996,1.245985,1.590236,1.711838,0.9712,1.391441,1.19239,0.598558,1
0.131319,0.59182,1.963143,1.937355,1.450575,2.606907,0.163887,0.45429,-1
0.821635,3.057851,0.288106,2.598531,2.822247,2.950097,2.051016,1.302585,-1
3.044035,2.403518,1.558992,2.980913,2.740043,1.148015,0.788113,0.68325,1
2.396936,1.359508,2.927856,1.643922,0.543012,2.950026,1.344727,2.261067,-1
0.974921,1.231094,1.963173,0.999073,2.311674,1.792605,0.82916,1.279447,-1
2.227178,0.789209,0.669704,0.789222,0.241271,2.69733,1.917482,0.495382,-1
1.537469,2.914285,3.105234,2.147864,0.010833,2.274155,1.099519,1.008371,-1
1.819042,2.582094,0.630201,1.261076,2.360543,1.65236,1.021722,0.376006,1
0.528995,1.574729,3.082191,0.312944,2.106036,2.147101,0.634528,0.147128,-1
1.649727,1.19801,3.001944,0.74367,1.614714,1.1705,1.941095,2.554305,1
